date,running,cycling,swimming,yoga,gym,sport
2023-12-24,38,2,7,17,25,
2023-12-31,36,3,8,20,29,
2024-01-07,35,3,8,19,28,
2024-01-14,35,3,8,18,27,
2024-01-21,35,3,8,19,27,
2024-01-28,32,3,9,19,28,
2024-02-04,31,3,9,19,27,
2024-02-11,33,3,9,17,26,
2024-02-18,31,3,9,19,27,
2024-02-25,31,3,9,18,26,
2024-03-03,31,3,9,17,26,
2024-03-10,33,3,9,17,26,
2024-03-17,31,3,9,17,27,
2024-03-24,31,3,9,16,25,
2024-03-31,30,4,10,17,26,
2024-04-07,31,4,10,17,25,
2024-04-14,32,4,10,16,24,
2024-04-21,33,4,9,17,25,
2024-04-28,34,4,11,17,27,
2024-05-05,33,4,11,16,26,
2024-05-12,32,4,11,15,26,
2024-05-19,33,4,11,16,25,
2024-05-26,33,4,13,17,27,
2024-06-02,32,4,12,16,26,
2024-06-09,31,4,14,17,27,
2024-06-16,31,4,16,24,25,
2024-06-23,31,4,13,17,26,
2024-06-30,30,4,13,16,27,
2024-07-07,32,4,13,16,27,
2024-07-14,32,4,13,17,26,
2024-07-21,36,5,15,16,27,
2024-07-28,32,5,28,16,29,
2024-08-04,36,8,100,16,27,
2024-08-11,34,5,13,17,27,
2024-08-18,33,4,11,16,27,
2024-08-25,32,4,11,16,28,
2024-09-01,33,4,10,17,29,
2024-09-08,32,4,8,16,27,
2024-09-15,31,3,8,17,27,
2024-09-22,30,3,8,17,26,
2024-09-29,30,4,8,16,26,
2024-10-06,31,3,8,16,26,
2024-10-13,32,3,7,16,25,
2024-10-20,30,3,7,16,24,
2024-10-27,30,3,7,15,24,
2024-11-03,33,3,7,16,26,
2024-11-10,31,3,7,17,26,
2024-11-17,31,3,8,17,26,
2024-11-24,33,3,7,18,26,
2024-12-01,31,3,7,16,26,
2024-12-08,29,3,7,15,25,
2024-12-15,30,3,7,15,25,
2024-12-22,31,3,7,16,27,
2024-12-29,33,3,8,18,29,
